id,bim360_account_id,name,status
df279dc8-819a-4d25-a15d-94aa6ad610c1,bf996092-8d66-408a-8d8e-5065ca3330c2,Quantity Surveying Lead,active
7c832ea3-9ef5-4500-82b6-611b77964f8f,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts Lead,inactive
98870b44-9515-4621-898a-a7e1ba2d8bbf,bf996092-8d66-408a-8d8e-5065ca3330c2,Purchase Lead,active
1f3c94f2-b2ac-4e05-8fce-64419d0c1895,bf996092-8d66-408a-8d8e-5065ca3330c2,Liaison Consultant,active
92038b2d-774e-49bd-882e-0d115901d914,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Liaison Consultant,active
c57091d7-9491-4b2f-95eb-0f37ede4fd9a,bf996092-8d66-408a-8d8e-5065ca3330c2,Mechanical Consultant,active
2621c564-41e5-4d11-865d-80dc09401f52,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Mechanical Consultant,active
72e88215-f8fc-45be-8eda-e1765c0ca05a,bf996092-8d66-408a-8d8e-5065ca3330c2,Director Mechanical Consultant,active
ea02b41f-fe2f-413f-8bfc-c716311761c8,bf996092-8d66-408a-8d8e-5065ca3330c2,Electrical Consultant,active
510520f5-7080-47ee-bd42-b5e659e83f39,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Electrical Consultant,active
d76da4c2-07b9-4eed-b70b-e9e116aade63,bf996092-8d66-408a-8d8e-5065ca3330c2,Director Electrical Consultant,active
910dbfe8-e626-457d-b469-ec656269ade6,bf996092-8d66-408a-8d8e-5065ca3330c2,Plumbing Consultant,active
2d16aae8-09dd-4d19-a4e8-636920e64305,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Plumbing Consultant,active
d0b8b9bc-0133-4c52-868f-e4145ecf02ba,bf996092-8d66-408a-8d8e-5065ca3330c2,Director Plumbing Consultant,active
dd37f68b-8fe8-4b80-9707-7c6e662a9bb5,bf996092-8d66-408a-8d8e-5065ca3330c2,Traffic Consultant,active
34be8beb-0316-4e0c-8c4e-a02a1360bb9a,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Traffic Consultant,active
5661081e-cce8-43ee-82fe-7cde852783e2,bf996092-8d66-408a-8d8e-5065ca3330c2,EC Consultant,active
7d259f43-b0b2-48e6-8703-5de44ec69309,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead EC Consultant,active
1bb7eb55-aae5-4a3f-8331-794750f3986c,bf996092-8d66-408a-8d8e-5065ca3330c2,Director EC Consultant,active
9a15cea8-89ef-474a-8868-39784d16d571,bf996092-8d66-408a-8d8e-5065ca3330c2,Green Building Consultant,active
04d62b81-7654-4e5c-bf1a-644ff03cec8d,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Green Building Consultant,active
0869ece3-195f-4d2b-9d21-3431246209de,bf996092-8d66-408a-8d8e-5065ca3330c2,BOH & Kitchen Consultant,active
74b698c4-01f3-4895-b87b-36cc967441f7,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead BOH & Kitchen Consultant,active
43b8ae34-c672-4f44-86c9-448d92dd8a1b,bf996092-8d66-408a-8d8e-5065ca3330c2,Architect Consultant,active
4bd4f872-6b47-42d0-90b6-1a2cc3771b17,bf996092-8d66-408a-8d8e-5065ca3330c2,Superintendent,inactive
e5a869c5-3f20-4e6e-ab84-8c8b906d8260,bf996092-8d66-408a-8d8e-5065ca3330c2,Planning Manager,active
5d07e83c-82e9-4914-8177-0cf66dfd668a,bf996092-8d66-408a-8d8e-5065ca3330c2,Maker - Civil,active
e07def83-8899-4979-b176-a3929e711f60,bf996092-8d66-408a-8d8e-5065ca3330c2,Checker - Civil,active
89a22a9b-48d1-4b8d-b54c-0ac6ceb38864,bf996092-8d66-408a-8d8e-5065ca3330c2,Approver - Civil,active
0f3ee56a-f1c3-4772-acbf-98f2b346a76d,bf996092-8d66-408a-8d8e-5065ca3330c2,Coordination-Design,active
9ec8f0e8-02e7-47e7-8015-de3a188301ae,bf996092-8d66-408a-8d8e-5065ca3330c2,HO Account Manager,active
98f505cf-acb5-45ee-a638-1a721599a170,bf996092-8d66-408a-8d8e-5065ca3330c2,Quantity Survey Manager - MEP,active
4a5cdc25-4dbd-46e9-b3da-cd328f6a802f,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Manager - Civil Contractor,active
c309364f-ac33-4100-b30b-ec1f8f5defa4,bf996092-8d66-408a-8d8e-5065ca3330c2,Executive Director,active
e27ba42f-b1ce-40a5-b36f-91ab08c94953,bf996092-8d66-408a-8d8e-5065ca3330c2,EA to ED,active
7a550409-e8a0-45eb-b5ba-cea48b716ff0,bf996092-8d66-408a-8d8e-5065ca3330c2,Coordinator - VKJ,active
0cd5c3ef-da30-4ca9-9324-9b881ba372a0,bf996092-8d66-408a-8d8e-5065ca3330c2,Director - VKJ,active
cf6a9764-ea7a-47dd-b1f0-360c7351b9f0,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Engineer,active
97d35679-f764-4ba7-9425-d5ff02847b84,bf996092-8d66-408a-8d8e-5065ca3330c2,Indigo - Site Engineer,active
8f0a32f3-21aa-4cf1-85bb-6b51250ee578,bf996092-8d66-408a-8d8e-5065ca3330c2,Indigo - Quality Engineer,active
c991b689-3f00-4ab4-8bf2-e9fea4493722,bf996092-8d66-408a-8d8e-5065ca3330c2,Indigo - Project Manager,active
40321da0-5e90-4b90-bc06-97ed095212a5,bf996092-8d66-408a-8d8e-5065ca3330c2,Interior Architect,active
a6e62255-9c4e-4271-802a-1551a7020ea0,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Interior Consultant,active
23c534cb-f9f5-4ff6-a7c1-481d766aa14a,bf996092-8d66-408a-8d8e-5065ca3330c2,Interior Consultant,active
b6777f6c-9bd8-4667-afb5-6851927d61d3,bf996092-8d66-408a-8d8e-5065ca3330c2,Lead Interior,active
ce876901-e41d-4162-8837-3e1a3ca92b40,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Accountant,active
0ec0f3b5-ce4e-48d0-9d6f-2d02f9ad0ae9,bf996092-8d66-408a-8d8e-5065ca3330c2,Contracts Administration,active
aa3d3af2-7417-471a-8c12-e94c0dc8381e,bf996092-8d66-408a-8d8e-5065ca3330c2,Site Engineer - Civil Contractor,active
612001d7-0e1a-42cd-b556-5866206ec48b,bf996092-8d66-408a-8d8e-5065ca3330c2,Quality Engineer - Civil Contractor,active
bae18df8-f4af-40be-a488-df4af8c6779f,bf996092-8d66-408a-8d8e-5065ca3330c2,Safety - Civil Contractor,active
1b240f64-8168-40a4-9750-43553760b8a2,bf996092-8d66-408a-8d8e-5065ca3330c2,Director - Indigo,active
