id,bim360_account_id,bim360_project_id,date,summary_key,temperature_min,temperature_max,humidity,wind_speed,wind_gust,wind_bearing,fetched_at,precipitation_accumulation
18445742,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-06-11,MostlyClear,83.75,106.52,0.320,4.4,,3,2025-06-11 05:18:08.960392,
18445749,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-06-18,Rain,76.28,90.392,0.720,4.0,,124,2025-06-18 11:49:07.079851,0.415354330708661
18445750,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-06-19,Rain,79.304,88.61,0.720,6.2,,127,2025-06-19 09:52:32.855887,0.293700787401575
18642947,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-06-23,Thunderstorms,80.996,93.596,0.690,4.0,,97,2025-06-24 06:16:16.565821,0.22007874015748
18642950,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2025-06-26,Thunderstorms,81.554,92.912,0.680,7.3,,98,2025-06-26 10:10:08.123728,0.194488188976378
18668816,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-19,Rain,78.71,91.346,0.700,6.1,,129,2025-06-20 14:20:59.249388,0.331102362204724
18668817,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-20,Rain,78.134,88.934,0.760,7.7,,107,2025-06-21 05:51:45.673029,0.227165354330709
18668818,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-21,PartlyCloudy,79.196,94.478,0.670,5.0,,140,2025-06-22 06:44:31.490652,0.0751968503937008
18668819,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-22,Thunderstorms,81.086,89.834,0.730,4.7,,79,2025-06-24 07:07:40.207455,0.445275590551181
18668820,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-23,Thunderstorms,80.06,92.786,0.710,4.5,,97,2025-06-24 09:36:09.285868,0.359055118110236
18668822,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-25,HeavyRain,80.114,88.286,0.810,7.6,,97,2025-06-29 04:56:14.899943,0.748031496062992
18668823,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-26,MostlyCloudy,80.384,93.722,0.680,8.1,,99,2025-06-30 04:54:04.661246,0.156692913385827
18668824,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-27,PartlyCloudy,80.888,95.486,0.640,7.1,,108,2025-06-30 04:54:53.640248,0.0523622047244095
18668825,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-28,Rain,79.556,91.328,0.710,4.2,,113,2025-06-30 05:09:42.383381,0.114173228346457
18669947,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-19,Rain,80.6,94.658,0.670,6.8,,112,2025-06-30 12:09:10.795316,0.668897637795276
18669949,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-21,Drizzle,79.826,93.74,0.670,7.7,,84,2025-06-30 12:09:08.473227,0.0925196850393701
18669952,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-23,Drizzle,79.502,87.944,0.780,7.9,,110,2025-06-24 05:41:57.689616,0.126771653543307
18669953,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-24,Rain,79.25,93.182,0.690,7.0,,106,2025-06-25 04:29:02.911806,0.114173228346457
18669954,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-25,Rain,80.402,93.704,0.700,10.1,,102,2025-06-26 04:57:23.977155,0.180314960629921
18669955,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-26,PartlyCloudy,81.32,94.964,0.660,11.2,,98,2025-06-27 04:59:32.79645,0.0401574803149606
18669956,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-27,PartlyCloudy,82.076,95.702,0.610,10.3,,106,2025-07-07 11:38:46.854015,0.00511811023622047
18669957,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-28,Rain,79.862,93.164,0.690,5.8,,122,2025-07-07 12:12:48.572574,0.0913385826771654
18720614,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,2025-06-30,Rain,77,87.908,0.820,3.4,,76,2025-07-02 12:07:47.105972,0.801968503937008
18725699,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,2025-06-30,Rain,75.308,82.976,0.830,3.9,,106,2025-07-25 05:33:03.537089,0.873622047244095
