id,bim360_account_id,bim360_project_id,rfi_id,from_status,to_status,created_at,created_by
091618bb-ff7f-415c-9731-203c5f6d5f47,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,answeredRev1,answeredManager,2025-05-22 09:18:09.352,CMJ2N3U8MSMRM8ZA
84a4a2f4-ad3e-47a8-a7ac-c3d8e8f90fae,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,cdad1adc-45ec-4168-82b0-16632c84986e,answeredManager,answeredRev1,2025-05-22 09:20:06.904,3NH2Q57QKQWJE37V
cea9d351-78f5-4791-86df-854841abd212,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,,submitted,2025-05-22 09:49:56.401,CMJ2N3U8MSMRM8ZA
c9c9db89-1999-49d4-973f-67f8e7698ebe,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,submitted,draft,2025-05-22 10:10:25.292,3NH2Q57QKQWJE37V
f5285025-78f9-4770-9be4-06ceb4266435,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,draft,submitted,2025-05-22 10:11:39.001,CMJ2N3U8MSMRM8ZA
ebab59fb-614a-4043-ae14-30cf5be3f661,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,submitted,open,2025-05-22 10:12:10.685,3NH2Q57QKQWJE37V
55b6262e-7d6d-4e7a-b0ae-65ee03e8a2ee,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7f5cb8a6-045c-4ea5-9be3-1015bd7d7ce3,open,answered,2025-05-22 10:19:41.639,CMJ2N3U8MSMRM8ZA
5c4f6409-6d60-49a9-9a41-bb6df2704a3f,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,,submitted,2025-05-22 10:27:08.749,CMJ2N3U8MSMRM8ZA
b5f3c6ed-547d-48ab-a5b3-934754a897b5,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,submitted,openRev1,2025-05-22 10:29:32.406,3NH2Q57QKQWJE37V
8fa13076-e6f6-47a7-b1db-c515dedf9ef1,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,337cf77d-9035-4ea4-b98c-9343ef205817,openRev1,submitted,2025-05-22 10:36:46.767,3NH2Q57QKQWJE37V
