weather_id,bim360_account_id,bim360_project_id,hour,summary_key,temp,wind_speed,wind_bearing,humidity,fetched_at,created_at,updated_at
19645173,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,MostlyCloudy,85.082,5.2,310,0.760,2025-08-08 06:04:48.137701,2025-07-28 10:17:58.176894,2025-08-08 06:04:48.154409
19645173,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Rain,78.08,3.1,231,0.950,2025-08-08 06:04:48.137159,2025-07-28 10:17:58.176889,2025-08-08 06:04:48.153522
18911330,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,07:00:00,MostlyCloudy,81.014,1.5,181,0.870,2025-07-23 11:22:36.841739,2025-06-29 04:47:01.860463,2025-07-23 11:22:36.84656
18911330,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,12:00:00,MostlyCloudy,89.402,5.4,296,0.690,2025-07-23 11:22:36.84204,2025-06-29 04:47:01.860466,2025-07-23 11:22:36.84761
18911330,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,16:00:00,MostlyCloudy,91.94,7.4,308,0.630,2025-07-23 11:22:36.842292,2025-06-29 04:47:01.860467,2025-07-23 11:22:36.848426
19419104,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,07:00:00,PartlyCloudy,79.448,8.2,70,0.860,2025-07-27 04:44:43.883685,2025-07-18 04:38:15.198996,2025-07-27 04:44:43.900568
19419104,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,12:00:00,PartlyCloudy,87.836,14.5,85,0.690,2025-07-27 04:44:43.883978,2025-07-18 04:38:15.198999,2025-07-27 04:44:43.90057
19419104,bf996092-8d66-408a-8d8e-5065ca3330c2,f679f4cf-c089-4a2b-9b84-b14129630601,16:00:00,Drizzle,88.178,12.0,80,0.690,2025-07-27 04:44:43.884211,2025-07-18 04:38:15.199,2025-07-27 04:44:43.902748
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,07:00:00,PartlyCloudy,81.824,1.9,239,0.850,2025-07-08 09:49:20.035634,2025-07-07 04:25:53.181633,2025-07-08 09:49:20.05739
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,12:00:00,MostlyCloudy,90.86,6.0,297,0.670,2025-07-08 09:49:20.036156,2025-07-07 04:25:53.181636,2025-07-08 09:49:20.057391
19066072,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,16:00:00,Cloudy,93.002,6.6,301,0.590,2025-07-08 09:49:20.036566,2025-07-07 04:25:53.181637,2025-07-08 09:49:20.058613
19818147,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,07:00:00,Cloudy,82.598,2.9,312,0.930,2025-08-14 11:33:25.28634,2025-08-04 03:42:57.216144,2025-08-14 11:33:25.305002
19818147,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,12:00:00,Cloudy,89.294,3.3,101,0.770,2025-08-14 11:33:25.286669,2025-08-04 03:42:57.216147,2025-08-14 11:33:25.306611
19818147,bf996092-8d66-408a-8d8e-5065ca3330c2,f6ab14eb-1a66-4ea5-8a0f-0afbda444403,16:00:00,Thunderstorms,87.566,5.2,157,0.780,2025-08-14 11:33:25.286898,2025-08-04 03:42:57.216148,2025-08-14 11:33:25.306613
