id,bim360_account_id,bim360_project_id,uid,feature_bound_uid,feature_bound_type,type,created_by,created_at,updated_by,updated_at,deleted,deleted_by,deleted_at,markup_text
630883697,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,9498b393-c195-422e-9b59-bdda9f8ff768,,,plangrid/pen,V9Q2X946QA52XTJG,2025-04-03 10:01:57.104834,V9Q2X946QA52XTJG,2025-04-03 10:01:57.104834,f,,,
630883725,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,c3e180e4-2189-47f3-93eb-de87bc6754c6,,,plangrid/rect,V9Q2X946QA52XTJG,2025-04-03 10:02:06.767812,V9Q2X946QA52XTJG,2025-04-03 10:02:06.767812,f,,,
630884175,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,d10e9983-a7c3-400c-b85a-ff24d11ebc12,4974757d-4cb1-4fee-ba8d-331ab5472025,issue,plangrid/stamp,V9Q2X946QA52XTJG,2025-04-03 10:04:15.910812,V9Q2X946QA52XTJG,2025-04-03 10:04:15.910812,f,,,CL
630888441,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,e3169c9f-4731-4634-8ff5-0f8e70821c9f,873016ab-b964-4d1d-843d-c48d8a616d70,issue,plangrid/stamp,4SH2MP7GPQVDJYFT,2025-04-03 10:15:09.073222,4SH2MP7GPQVDJYFT,2025-04-03 10:15:09.073222,f,,,DI
630888544,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,9b0b909d-1a62-4c53-b760-70cbb3051130,25d02bd2-b1ec-4cc3-b223-b3efe3424c30,issue,plangrid/stamp,4SH2MP7GPQVDJYFT,2025-04-03 10:15:37.054357,4SH2MP7GPQVDJYFT,2025-04-03 10:15:37.054357,f,,,DI
588179536,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,8ac27fff-2735-4bf4-8b18-8f8c2eb7da49,,,plangrid/text,Z3429E4KRUPBNHD4,2025-02-28 09:37:03.156756,Z3429E4KRUPBNHD4,2025-02-28 09:37:12.20343,t,Z3429E4KRUPBNHD4,2025-02-28 09:37:12.221284,Add text
588179463,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,615b6682-e9f6-44f4-a7f5-61077b4920c9,,,plangrid/rect,Z3429E4KRUPBNHD4,2025-02-28 09:36:38.39454,Z3429E4KRUPBNHD4,2025-02-28 09:37:18.143574,t,Z3429E4KRUPBNHD4,2025-02-28 09:37:18.165432,
588186379,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,e39c2afd-f97a-454d-ba2e-01c5eca4e763,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-02-28 10:08:49.857622,Z3429E4KRUPBNHD4,2025-02-28 10:09:00.532377,t,Z3429E4KRUPBNHD4,2025-02-28 10:09:00.554434,
588186550,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,e42f1b5e-08b6-4f24-9001-5197f6434ff2,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-02-28 10:09:29.993621,Z3429E4KRUPBNHD4,2025-02-28 10:09:29.993621,f,,,
588182522,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,83c5fb40-acca-4d5a-86fd-915a257a6a1b,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-02-28 09:51:58.337209,Z3429E4KRUPBNHD4,2025-02-28 10:09:58.919569,t,Z3429E4KRUPBNHD4,2025-02-28 10:09:58.946203,
588187283,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,837361f6-9cf0-50f3-9559-cd7db32f508e,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-02-28 10:12:44.135147,Z3429E4KRUPBNHD4,2025-02-28 10:12:44.135147,f,,,
588191005,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,f379c5fc-5418-5712-98ce-0b0b35e10e08,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-02-28 10:31:36.167645,Z3429E4KRUPBNHD4,2025-02-28 10:31:36.167645,f,,,
588222095,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,1971df6d-efb7-4748-8160-67ebd34a4787,,,plangrid/highlighter,Z3429E4KRUPBNHD4,2025-02-28 12:18:46.565416,Z3429E4KRUPBNHD4,2025-02-28 12:18:46.565416,f,,,
588222112,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,458db193-c69e-4770-9998-ae06eee69b60,,,plangrid/rect,Z3429E4KRUPBNHD4,2025-02-28 12:18:53.918904,Z3429E4KRUPBNHD4,2025-02-28 12:18:53.918904,f,,,
588222420,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,77d04699-7938-4ebb-bb02-76378ffac2f3,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-02-28 12:20:28.75927,Z3429E4KRUPBNHD4,2025-02-28 12:20:28.75927,f,,,
588222435,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,372433c3-a682-4f5b-8790-32b29fb842e5,,,plangrid/boxArrowText,Z3429E4KRUPBNHD4,2025-02-28 12:20:31.983572,Z3429E4KRUPBNHD4,2025-02-28 12:20:31.983572,f,,,Add text
588229812,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,271deb24-ab31-4f98-b2a7-2cce424d970c,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-02-28 12:31:55.664099,Z3429E4KRUPBNHD4,2025-02-28 12:31:55.664099,f,,,
588230544,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4ec8c42f-29b3-5d1d-bb94-789c7382d237,,,plangrid/rect,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,f,,,
588230545,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,96a12da4-7e1e-52e0-b19e-3b4de331839b,,,plangrid/boxArrowText,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,f,,,Add text
588230546,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,f14e5008-4111-5f02-ad66-480c5ddfb3ab,,,plangrid/highlighter,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,f,,,
588230547,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,0775c887-63e7-5cb1-bd2e-b4e38786b059,,,acc/approval_stamp,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,Z3429E4KRUPBNHD4,2025-02-28 12:35:53.369073,f,,,
633718087,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,0c6d94ce-2e05-48a3-bfb0-d37496d2c4f9,d74b5d17-ae2e-4fdc-a381-895a47133d45,issue,plangrid/stamp,TB52D24RMGKR7MPQ,2025-04-05 06:07:33.724685,TB52D24RMGKR7MPQ,2025-04-05 06:07:33.724685,f,,,OBS
633743923,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,65f4319e-3632-472c-b3b9-2aa0fbd2ca4f,,,plangrid/boxArrowText,V9Q2X946QA52XTJG,2025-04-05 09:50:59.134102,V9Q2X946QA52XTJG,2025-04-05 09:50:59.134102,f,,,Add text
603241352,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,45d8b231-1d53-4f83-b0c1-3362806688a5,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-03-12 06:01:49.956319,Z3429E4KRUPBNHD4,2025-03-12 06:01:49.956319,f,,,
603241719,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,477b333a-f97e-5542-8695-35ee4e3d2be9,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-03-12 06:04:58.36577,Z3429E4KRUPBNHD4,2025-03-12 06:04:58.36577,f,,,
603246308,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,199b0711-4383-4001-ba18-1aba773735e4,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-03-12 06:30:21.72,Z3429E4KRUPBNHD4,2025-03-12 06:31:06.556894,f,,,
603246644,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,b4b9e3c8-2d49-402f-99fb-03ab113d3c5d,,,plangrid/text,Z3429E4KRUPBNHD4,2025-03-12 06:32:42.063583,Z3429E4KRUPBNHD4,2025-03-12 06:32:42.063583,f,,,Add text
603246886,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,4bba838a-7991-41ea-8c66-6cfe6d3dcd2d,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-03-12 06:34:16.876564,Z3429E4KRUPBNHD4,2025-03-12 06:34:16.876564,f,,,
603254258,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,12d5f3d3-9940-4076-a14a-846fae7d18f9,17f355cb-97c9-411e-8312-cbf5c75d6900,issue,plangrid/stamp,Z3429E4KRUPBNHD4,2025-03-12 06:38:08.130962,Z3429E4KRUPBNHD4,2025-03-12 06:38:08.130962,f,,,COR
603305480,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,ae640f34-ce6b-47ff-9639-0bcb35f99f8d,,,plangrid/cloud,JESJ7TGSQHWR942J,2025-03-12 09:39:32.984354,JESJ7TGSQHWR942J,2025-03-12 09:39:32.984354,f,,,
603305508,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,dd5a8d12-e3cd-42f3-b227-604e6e9d2ad6,,,plangrid/rect,JESJ7TGSQHWR942J,2025-03-12 09:39:43.075337,JESJ7TGSQHWR942J,2025-03-12 09:39:47.445051,t,JESJ7TGSQHWR942J,2025-03-12 09:39:47.557071,
603305982,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7d5c8061-440b-4802-8139-c9a05a0a7a30,,,plangrid/cloud,Z3429E4KRUPBNHD4,2025-03-12 09:41:15.286983,Z3429E4KRUPBNHD4,2025-03-12 09:41:15.286983,f,,,
603306022,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,7cc21859-619f-415f-8efa-d2c4f41524a3,,,plangrid/ellipse,JESJ7TGSQHWR942J,2025-03-12 09:41:26.949096,JESJ7TGSQHWR942J,2025-03-12 09:41:26.949096,f,,,
603306671,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,95193a71-b986-4c35-8d75-fb953871cb74,,,plangrid/rect,Z3429E4KRUPBNHD4,2025-03-12 09:44:58.092225,Z3429E4KRUPBNHD4,2025-03-12 09:44:58.092225,f,,,
603306676,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,2b8cec79-ceb5-441f-82e2-0b4b78046ed1,,,plangrid/boxArrowText,Z3429E4KRUPBNHD4,2025-03-12 09:45:00.872198,Z3429E4KRUPBNHD4,2025-03-12 09:45:00.872198,f,,,Add text
603311251,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,961fb88a-bc8c-4709-9d71-9be447a70529,,,plangrid/cloud,QNTJJ3CVR726KX4Z,2025-03-12 10:08:39.183424,QNTJJ3CVR726KX4Z,2025-03-12 10:08:39.183424,f,,,
603311431,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,0b489386-815a-4304-92da-78e06c20865a,,,plangrid/text,QNTJJ3CVR726KX4Z,2025-03-12 10:09:19.9338,QNTJJ3CVR726KX4Z,2025-03-12 10:09:19.9338,f,,,Add text
603313275,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,dc3a73a3-bf9e-5a16-be47-e72dd3baeefd,,,plangrid/rect,Z3429E4KRUPBNHD4,2025-03-12 10:18:57.72576,Z3429E4KRUPBNHD4,2025-03-12 10:18:57.72576,f,,,
603313276,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,d0a78a9f-a8d8-5020-96f5-aa6e626293dc,,,plangrid/boxArrowText,Z3429E4KRUPBNHD4,2025-03-12 10:18:57.72576,Z3429E4KRUPBNHD4,2025-03-12 10:18:57.72576,f,,,Add text
603313277,bf996092-8d66-408a-8d8e-5065ca3330c2,ada6015d-9fce-4f2c-b20f-fc9122d2face,c3901843-d3e5-5664-a458-aa4ef5844b1b,,,plangrid/text,QNTJJ3CVR726KX4Z,2025-03-12 10:18:57.72576,Z3429E4KRUPBNHD4,2025-03-12 10:18:57.72576,f,,,Add text
624154068,bf996092-8d66-408a-8d8e-5065ca3330c2,23142979-9fb6-4fd3-bd82-62d7e0add75f,1cfb0a94-70c6-482a-9f63-37045779a885,,,plangrid/boxArrowText,JESJ7TGSQHWR942J,2025-03-28 11:20:39.043933,JESJ7TGSQHWR942J,2025-04-10 06:40:50.03731,t,JESJ7TGSQHWR942J,2025-03-28 11:21:33.781716,Add text
634135448,bf996092-8d66-408a-8d8e-5065ca3330c2,2f551e7d-05e6-4bfc-8ee1-0ef3a8487c11,f5d63d86-9a52-49f4-bd04-f619a6c162d5,,,plangrid/cloud,EAW249MULVNEJUNK,2025-04-07 06:01:22.942979,EAW249MULVNEJUNK,2025-04-07 07:18:29.094343,t,EAW249MULVNEJUNK,2025-04-07 07:18:29.11047,
