bim360_account_id,bim360_project_id,role_oxygen_id,name,status,role_id
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949040,Project Architect,active,f50f98b0-65ba-43b5-b991-efb045ca25b6
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949042,Lead Project Architect,active,c96e064e-b8b0-4071-86cd-f7c21d5ac38c
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949043,Mechanical Manager,active,ce0abe70-cd8c-41e3-9c2f-42373a0fd7f3
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949044,Lead Structure,active,6da2503c-6c5c-477f-95e4-53e3d35ea863
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949045,Structural Manager,active,a5bc9e53-3d75-46e4-a90b-cc4a2194caf0
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949046,Planning Engineer,active,60871017-729f-4483-85d2-78de38377558
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949047,Electrical Manager,active,fbf906b7-f262-434a-a628-31ab53aed6b9
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949049,Lead PMO,active,d6701fe4-379a-416f-9a69-9ce924194406
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949051,Assistant PMO,active,45a25e14-6914-4f85-bebb-518335e5ea19
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949050,Cluster Head,active,a792f5ce-8328-460a-ac59-03da7580d0dd
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949052,Safety Engineer,active,86e2ec1c-4435-4166-89af-198f15322b9f
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949053,"Lead ICT, Security, Audio Visual & Acoustics Consultant",active,0e3d6dc2-bb29-40b4-bcc9-534bd6f885a2
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949054,Lead Architect Consultant,active,a6d8d3e9-e329-48e0-a2c8-5b0b0524366b
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949055,Project Head,active,5d5858d4-5725-4a2f-9da4-798b6f81d687
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949057,Plumbing Manager,active,b86b0fc4-dc82-45da-9e19-8ba5ca297712
bf996092-8d66-408a-8d8e-5065ca3330c2,967e785d-d83c-490b-8d6a-2ed926c956ac,501949056,Lead MEP,active,a999b436-a2eb-43f4-bd0d-aedb6b3d89ad
